Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?"
21/12/2018 18:21:21,Paid Gacha Only,,,,,,,,,,,,,,,,,Artoria Pendragon [Archer],,,"Tamamo-no-mae, Merlin",Jack the Ripper,,,,No,Between 6 and 12 months,5,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:21:22,301USD and onwards but less than 501 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]","Arjuna, Artoria Pendragon [Archer], Ishtar","Scathach, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]",Francis Drake,"Tamamo-no-mae, Xuanzang, Illyasviel von Einzbern, Merlin","Jack the Ripper, Shuten Douji","Florence Nightingale, Minamoto no Raikō",,Jeanne D'arc [Alter],Yes,Between 6 and 12 months,19,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:22:00,F2P,"Altera, Nero Claudius [Bride]","Gilgamesh, Artoria Pendragon [Archer]",,"Francis Drake, Iskandar","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Merlin",Cleopatra,Florence Nightingale,,Jeanne D'arc [Alter],Yes,More than 15 months,14,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:22:24,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride]","Orion, Nikola Tesla, Arjuna, Artoria Pendragon [Archer]",,Iskandar,"Zhuge Liang [El-Melloi II], Merlin",Jack the Ripper,Minamoto no Raikō,Jeanne D'arc,Jeanne D'arc [Alter],No,More than 15 months,13,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:22:55,301USD and onwards but less than 501 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred, Nero Claudius [Bride], Ryougi Shiki","Gilgamesh, Nikola Tesla, Artoria Pendragon [Archer]","Scathach, Karna, Brynhildr, Artoria Pendragon [Lancer], Enkidu","Ozymandias, Quetzalcoatl","Xuanzang, Leonardo Da Vinci, Merlin","Jack the Ripper, MHX",Florence Nightingale,Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 months,34,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:22:58,301USD and onwards but less than 501 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred, Nero Claudius [Bride]","Orion, Arjuna, Ishtar","Tamamo no Mae [Lancer], Enkidu","Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Illyasviel von Einzbern, Merlin",Cleopatra,"Vlad III, Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,,No,More than 15 months,28,No,Male,No,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:23:28,Paid Gacha Only,,,,,,,,,,,,,,,,,Nikola Tesla,Enkidu,"Francis Drake, Iskandar",,,"Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō",Amakusa Shirou,Jeanne D'arc [Alter],Yes,Between 6 and 12 months,11,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:23:29,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]","Orion, Arjuna, Artoria Pendragon [Archer], Ishtar","Scathach, Karna, Tamamo no Mae [Lancer]",,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin","Shuten Douji, Cleopatra","Cu Chulainn [Alter], Minamoto no Raikō",,Jeanne D'arc [Alter],No,More than 15 months,25,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:23:36,F2P,,,,,Merlin,,Cu Chulainn [Alter],,Jeanne D'arc [Alter],No,Between 6 and 12 months,3,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:23:43,Paid Gacha Only,,,,,,,,,,,,,,,,"Altera, Mordred",,Scathach,,"Xuanzang, Illyasviel von Einzbern, Merlin",,,,Jeanne D'arc [Alter],No,Between 6 and 12 months,7,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:24:10,Paid Gacha Only,,,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]","Gilgamesh, Artoria Pendragon [Archer]",Tamamo no Mae [Lancer],Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",Jack the Ripper,Cu Chulainn [Alter],,,Yes,More than 15 months,12,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:24:10,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred",,"Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]","Iskandar, Ozymandias","Xuanzang, Merlin",Shuten Douji,Cu Chulainn [Alter],,Jeanne D'arc [Alter],No,Between 12 and 15 months,14,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:24:12,F2P,"Altera, Nero Claudius [Bride]",Orion,,,"Zhuge Liang [El-Melloi II], Illyasviel von Einzbern",,,,,No,More than 15 months,5,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:24:28,Paid Gacha Only,,,,,,,,,,,,,,,,Mordred,Nikola Tesla,Tamamo no Mae [Lancer],Francis Drake,,,Vlad III,,,No,More than 15 months,6,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:24:33,Paid Gacha Only,,,,,,,,,,,,,,,,Ryougi Shiki,,"Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]","Queen Medb, Quetzalcoatl","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin",,Minamoto no Raikō,,Jeanne D'arc [Alter],No,Between 6 and 12 months,10,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:24:34,F2P,Mordred,,,Francis Drake,Zhuge Liang [El-Melloi II],,,,,No,Between 3 and 6 months,3,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:24:41,F2P,Mordred,,,Iskandar,,Jack the Ripper,,,,Yes,More than 15 months,3,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:24:45,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Nero Claudius [Bride]","Gilgamesh, Orion, Arjuna, Artoria Pendragon [Archer], Ishtar","Scathach, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]","Francis Drake, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Xuanzang, Illyasviel von Einzbern, Merlin",Jack the Ripper,"Sakata Kintoki, Florence Nightingale, Minamoto no Raikō","Jeanne D'arc, Amakusa Shirou",Jeanne D'arc [Alter],Yes,Between 12 and 15 months,37,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:24:48,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred","Gilgamesh, Nikola Tesla, Arjuna, Ishtar","Scathach, Karna, Artoria Pendragon [Lancer], Enkidu","Queen Medb, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci, Merlin",Cleopatra,"Florence Nightingale, Minamoto no Raikō",,Jeanne D'arc [Alter],Yes,Between 3 and 6 months,21,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:24:49,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride]",,Artoria Pendragon [Lancer],,"Zhuge Liang [El-Melloi II], Illyasviel von Einzbern",,,,,Yes,Between 3 and 6 months,7,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:24:53,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karna,,"Zhuge Liang [El-Melloi II], Illyasviel von Einzbern",,"Vlad III, Cu Chulainn [Alter]",Amakusa Shirou,,No,Between 6 and 12 months,7,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:25:01,F2P,Mordred,Arjuna,Karna,,Merlin,,Vlad III,,,No,More than 15 months,6,Yes,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:25:25,F2P,,Ishtar,Scathach,,"Tamamo-no-mae, Merlin",,,,,No,Between 6 and 12 months,4,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:25:50,F2P,,Ishtar,"Karna, Brynhildr, Tamamo no Mae [Lancer]",,Merlin,MHX,,,Jeanne D'arc [Alter],Yes,Between 6 and 12 months,7,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:26:07,Paid Gacha Only,,,,,,,,,,,,,,,,Artoria Pendragon,,,,,,,,,No,Between 6 and 12 months,1,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:26:19,501 USD and onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride], Ryougi Shiki","Gilgamesh, Orion, Arjuna, Artoria Pendragon [Archer], Ishtar","Scathach, Karna, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer], Enkidu","Francis Drake, Iskandar, Ozymandias, Quetzalcoatl","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci, Illyasviel von Einzbern, Merlin","Jack the Ripper, Shuten Douji, Cleopatra","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō","Jeanne D'arc, Amakusa Shirou",Jeanne D'arc [Alter],Yes,More than 15 months,88,Yes,Male,,,,,,More than 70,"Yes, I rerolled"
21/12/2018 18:26:21,F2P,Artoria Pendragon,,,,"Leonardo Da Vinci, Merlin",,,,,No,Between 3 and 6 months,3,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:26:27,F2P,"Altera, Nero Claudius [Bride]",,Tamamo no Mae [Lancer],,,,,,Jeanne D'arc [Alter],No,Between 6 and 12 months,4,No,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:26:45,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride], Ryougi Shiki","Gilgamesh, Ishtar",Artoria Pendragon [Lancer],Francis Drake,"Zhuge Liang [El-Melloi II], Illyasviel von Einzbern, Merlin","Jack the Ripper, MHX, Cleopatra",,Jeanne D'arc,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,19,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:26:45,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,"Gilgamesh, Ishtar",Enkidu,Ozymandias,"Tamamo-no-mae, Merlin",Jack the Ripper,,,,No,Between 6 and 12 months,11,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:26:46,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Nero Claudius [Bride]",Artoria Pendragon [Archer],"Scathach, Brynhildr","Francis Drake, Ozymandias, Quetzalcoatl","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",Cleopatra,Florence Nightingale,Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 months,28,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:26:51,F2P,,,Scathach,"Francis Drake, Quetzalcoatl","Leonardo Da Vinci, Illyasviel von Einzbern",,,,,No,Between 6 and 12 months,5,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:26:55,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred",Gilgamesh,Enkidu,,Tamamo-no-mae,Jack the Ripper,"Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",Yes,Between 12 and 15 months,11,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:26:56,Paid Gacha Only,,,,,,,,,,,,,,,,Okita Souji,,"Karna, Tamamo no Mae [Lancer]",,"Tamamo-no-mae, Merlin",,Cu Chulainn [Alter],,Jeanne D'arc [Alter],No,More than 15 months,8,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:27:14,Paid Gacha Only,,,,,,,,,,,,,,,,"Mordred, Nero Claudius [Bride]","Arjuna, Artoria Pendragon [Archer]","Scathach, Karna","Francis Drake, Queen Medb","Zhuge Liang [El-Melloi II], Illyasviel von Einzbern",Jack the Ripper,Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],No,More than 15 months,15,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:27:19,F2P,"Artoria Pendragon, Altera","Gilgamesh, Nikola Tesla, Arjuna, Ishtar",Enkidu,,Merlin,,"Sakata Kintoki, Cu Chulainn [Alter]",,,Yes,More than 15 months,10,Yes,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:27:38,F2P,"Altera, Ryougi Shiki",Ishtar,Karna,,,Shuten Douji,Florence Nightingale,,Jeanne D'arc [Alter],Yes,More than 15 months,7,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:27:50,F2P,,Ishtar,,Quetzalcoatl,"Zhuge Liang [El-Melloi II], Merlin",,,,,Yes,Between 6 and 12 months,5,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:28:21,F2P,,,"Tamamo no Mae [Lancer], Enkidu",,,,Vlad III,Amakusa Shirou,Jeanne D'arc [Alter],Yes,Between 6 and 12 months,5,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:28:23,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nero Claudius [Bride],Nikola Tesla,Artoria Pendragon [Lancer],Francis Drake,,Jack the Ripper,,,Jeanne D'arc [Alter],No,Between 12 and 15 months,12,Yes,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:28:28,Paid Gacha Only,,,,,,,,,,,,,,,,"Altera, Okita Souji, Mordred",,,,Zhuge Liang [El-Melloi II],,Cu Chulainn [Alter],Jeanne D'arc,,No,More than 15 months,7,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:28:38,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,Xuanzang,,,,,,More than 15 months,10,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:28:39,F2P,Altera,,Tamamo no Mae [Lancer],,"Zhuge Liang [El-Melloi II], Merlin",,Vlad III,,Jeanne D'arc [Alter],No,Between 6 and 12 months,6,Yes,Prefer not to say,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:28:53,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,,"Karna, Artoria Pendragon [Lancer]",,"Tamamo-no-mae, Xuanzang",Shuten Douji,Minamoto no Raikō,,,No,Between 6 and 12 months,9,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:28:56,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred",Gilgamesh,,,Merlin,,"Florence Nightingale, Minamoto no Raikō",Amakusa Shirou,,Yes,Between 1 and 3 months,7,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:29:15,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Ryougi Shiki",,"Scathach, Enkidu","Francis Drake, Ozymandias","Tamamo-no-mae, Illyasviel von Einzbern, Merlin","Jack the Ripper, MHX",,Jeanne D'arc,,Yes,More than 15 months,16,Yes,Prefer not to say,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:29:33,Paid Gacha Only,,,,,,,,,,,,,,,,,,,"Francis Drake, Queen Medb",Zhuge Liang [El-Melloi II],Shuten Douji,,,,Yes,Between 6 and 12 months,4,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:29:59,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred, Nero Claudius [Bride]","Nikola Tesla, Arjuna, Artoria Pendragon [Archer], Ishtar","Brynhildr, Artoria Pendragon [Lancer]","Francis Drake, Iskandar","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci, Illyasviel von Einzbern, Merlin","Jack the Ripper, MHX, Shuten Douji","Sakata Kintoki, Minamoto no Raikō","Jeanne D'arc, Amakusa Shirou",Jeanne D'arc [Alter],No,Between 12 and 15 months,28,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:30:02,501 USD and onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred, Nero Claudius [Bride]","Gilgamesh, Orion, Arjuna, Artoria Pendragon [Archer], Ishtar","Karna, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer], Enkidu","Francis Drake, Queen Medb, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci, Illyasviel von Einzbern, Merlin","Jack the Ripper, MHX, Shuten Douji, Cleopatra","Vlad III, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],No,More than 15 months,57,Yes,Male,,,Between 41 and 70,,,,"Yes, I rerolled"
21/12/2018 18:30:08,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Nero Claudius [Bride]",Artoria Pendragon [Archer],"Karna, Tamamo no Mae [Lancer]",Quetzalcoatl,Illyasviel von Einzbern,,Minamoto no Raikō,,Jeanne D'arc [Alter],No,Between 12 and 15 months,10,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:30:12,Paid Gacha Only,,,,,,,,,,,,,,,,Mordred,,Tamamo no Mae [Lancer],,Zhuge Liang [El-Melloi II],,Cu Chulainn [Alter],,,No,Between 6 and 12 months,4,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:30:20,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride]","Orion, Artoria Pendragon [Archer]","Scathach, Tamamo no Mae [Lancer]",,"Tamamo-no-mae, Merlin",Jack the Ripper,"Sakata Kintoki, Vlad III, Cu Chulainn [Alter]",Amakusa Shirou,,Yes,More than 15 months,14,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 18:31:00,F2P,"Artoria Pendragon, Mordred, Nero Claudius [Bride]","Artoria Pendragon [Archer], Ishtar",,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Leonardo Da Vinci, Merlin",Jack the Ripper,"Sakata Kintoki, Vlad III, Minamoto no Raikō",,Jeanne D'arc [Alter],No,Between 12 and 15 months,20,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
