Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?"
21/12/2018 15:48:22,Paid Gacha Only,,,,,,,,,,,,,,,,Nero Claudius [Bride],,"Karna, Artoria Pendragon [Lancer]",Iskandar,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin",Jack the Ripper,,,Jeanne D'arc [Alter],No,More than 15 months,9,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:48:35,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Nikola Tesla,"Karna, Artoria Pendragon [Lancer]","Francis Drake, Queen Medb, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Leonardo Da Vinci, Merlin","Jack the Ripper, Shuten Douji, Cleopatra","Sakata Kintoki, Vlad III, Minamoto no Raikō",,"Jeanne D'arc [Alter], Edmond Dantes",Yes,Between 12 and 15 months,29,Yes,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:48:35,Paid Gacha Only,,,,,,,,,,,,,,,,Altera,,,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin",Cleopatra,Vlad III,,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,8,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:49:48,F2P,,,Artoria Pendragon [Lancer],,Merlin,Jack the Ripper,Sakata Kintoki,,,Yes,Between 6 and 12 months,4,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:49:52,Paid Gacha Only,,,,,,,,,,,,,,,,Artoria Pendragon,Orion,Scathach,Francis Drake,"Xuanzang, Merlin",,Vlad III,,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,9,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:49:55,Paid Gacha Only,,,,,,,,,,,,,,,,Artoria Pendragon,Gilgamesh,Tamamo no Mae [Lancer],Francis Drake,Merlin,,"Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 months,13,Yes,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:50:37,F2P,Altera,Arjuna,,Francis Drake,,,,Amakusa Shirou,Jeanne D'arc [Alter],No,More than 15 months,5,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:50:54,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred, Nero Claudius [Bride], Ryougi Shiki","Orion, Arjuna",Scathach,Francis Drake,Tamamo-no-mae,,,,Edmond Dantes,Yes,Between 12 and 15 months,13,No,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:51:08,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Gilgamesh,Scathach,"Francis Drake, Queen Medb, Iskandar, Ozymandias","Tamamo-no-mae, Merlin",,Cu Chulainn [Alter],"Jeanne D'arc, Amakusa Shirou",,Yes,Between 6 and 12 months,16,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:51:18,F2P,,,,,"Zhuge Liang [El-Melloi II], Illyasviel von Einzbern, Merlin",,,Jeanne D'arc,,No,More than 15 months,5,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:51:20,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,Gilgamesh,Enkidu,,Merlin,,,"Jeanne D'arc, Amakusa Shirou",,No,More than 15 months,6,Yes,Other,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:51:37,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji, Mordred",,Scathach,,"Zhuge Liang [El-Melloi II], Xuanzang, Merlin","Jack the Ripper, MHX",Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,15,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:51:49,Paid Gacha Only,,,,,,,,,,,,,,,,,Arjuna,Tamamo no Mae [Lancer],,"Xuanzang, Merlin","MHX, Shuten Douji",,,Jeanne D'arc [Alter],No,More than 15 months,7,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:52:13,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,Artoria Pendragon [Archer],,,"Tamamo-no-mae, Xuanzang, Merlin",,Florence Nightingale,,,No,Between 6 and 12 months,7,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:52:34,Paid Gacha Only,,,,,,,,,,,,,,,,Nero Claudius [Bride],Artoria Pendragon [Archer],,Francis Drake,Merlin,,Vlad III,,,Yes,Between 12 and 15 months,5,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:53:32,Paid Gacha Only,,,,,,,,,,,,,,,,,Orion,Enkidu,"Francis Drake, Ozymandias",Merlin,,"Sakata Kintoki, Florence Nightingale",Jeanne D'arc,Jeanne D'arc [Alter],No,More than 15 months,10,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:53:42,501 USD and onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nero Claudius [Bride],"Gilgamesh, Orion, Arjuna","Scathach, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]",Francis Drake,"Zhuge Liang [El-Melloi II], Xuanzang, Illyasviel von Einzbern, Merlin","Jack the Ripper, MHX","Vlad III, Minamoto no Raikō","Jeanne D'arc, Amakusa Shirou",Jeanne D'arc [Alter],Yes,More than 15 months,21,Yes,Male,,,Between 21 and 40,,,,No
21/12/2018 15:53:49,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,"Orion, Nikola Tesla, Arjuna",,,Zhuge Liang [El-Melloi II],Jack the Ripper,Vlad III,Amakusa Shirou,,Yes,More than 15 months,8,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:54:00,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Nero Claudius [Bride]","Gilgamesh, Artoria Pendragon [Archer]","Scathach, Tamamo no Mae [Lancer]","Francis Drake, Ozymandias","Tamamo-no-mae, Xuanzang, Merlin",Jack the Ripper,"Vlad III, Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],No,More than 15 months,22,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:54:17,Paid Gacha Only,,,,,,,,,,,,,,,,,Arjuna,,Ozymandias,Merlin,,Vlad III,,Jeanne D'arc [Alter],No,Between 3 and 6 months,6,Yes,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:54:23,Paid Gacha Only,,,,,,,,,,,,,,,,Mordred,Orion,"Scathach, Artoria Pendragon [Lancer]",Ozymandias,Zhuge Liang [El-Melloi II],MHX,,Jeanne D'arc,Jeanne D'arc [Alter],No,Between 12 and 15 months,11,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2018 15:54:24,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji, Nero Claudius [Bride]","Gilgamesh, Ishtar",Scathach,Quetzalcoatl,"Illyasviel von Einzbern, Merlin",,Florence Nightingale,Jeanne D'arc,,Yes,More than 15 months,17,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
