Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,Extra Section: Summer SRs,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you saved for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?",,,"4,957016435"
7/08/2018 19:41:18,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji","Orion, Artoria Pendragon [Archer]",,Ozymandias,,Jack the Ripper,Florence Nightingale,,,Martha [Ruler],More than 1 year,7,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:41:28,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Between 3 and 6 months,,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:41:37,F2P,Ryougi Shiki,,"Karna, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]",,Xuanzang,,,,,,Between 3 and 6 months,5,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:41:39,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,,Scathach,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,Cu Chulainn [Alter],,Jeanne D'arc [Alter],Martha [Ruler],Between 3 and 6 months,6,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:41:49,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Nero Claudius [Bride]","Orion, Artoria Pendragon [Archer]","Scathach, Brynhildr, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]",,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang","MHX, Shuten Douji","Vlad III, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],"Kiyohime [Lancer], Mordred [Rider], Anne/Mary [Archer], Marie [Caster], Shishou NP5 [Assassin] aka event done",More than 1 year,24,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:42:04,F2P,"Artoria Pendragon, Ryougi Shiki",,,,Zhuge Liang [El-Melloi II],Jack the Ripper,"Vlad III, Florence Nightingale",Jeanne D'arc,Extra Option: Angra Mainyu,Mordred [Rider],More than 1 year,12,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:42:09,Paid Gacha Only,,,,,,,,,,,,,,,,"Altera, Okita Souji, Ryougi Shiki",Artoria Pendragon [Archer],"Scathach, Tamamo no Mae [Lancer]",Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Shuten Douji,"Vlad III, Minamoto no Raikō",,,"Anne/Mary [Archer], Marie [Caster], Martha [Ruler]",More than 1 year,19,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:42:14,Paid Gacha Only,,,,,,,,,,,,,,,,Altera,,,,,,Vlad III,,,,Between 6 and 12 months,14,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:42:15,F2P,Artoria Pendragon,Artoria Pendragon [Archer],,,Zhuge Liang [El-Melloi II],,,,Jeanne D'arc [Alter],"Mordred [Rider], Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",More than 1 year,5,Yes,Prefer not to say,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:42:16,F2P,Altera,,Tamamo no Mae [Lancer],,,,Minamoto no Raikō,,Jeanne D'arc [Alter],,Between 3 and 6 months,4,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:42:34,Paid Gacha Only,,,,,,,,,,,,,,,,"Altera, Mordred, Nero Claudius [Bride]","Orion, Artoria Pendragon [Archer]",Tamamo no Mae [Lancer],Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",Jack the Ripper,"Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],"Mordred [Rider], Marie [Caster]",More than 1 year,19,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:42:41,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gilgamesh,"Karna, Tamamo no Mae [Lancer]",,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Leonardo Da Vinci",Jack the Ripper,,Jeanne D'arc,,"Mordred [Rider], Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",Between 6 and 12 months,11,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:42:44,Paid Gacha Only,,,,,,,,,,,,,,,,Okita Souji,Orion,Scathach,Francis Drake,Leonardo Da Vinci,,Vlad III,,Extra Option: Angra Mainyu,Marie [Caster],More than 1 year,7,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:43:02,F2P,,,"Karna, Brynhildr, Tamamo no Mae [Lancer]",,,,"Florence Nightingale, Minamoto no Raikō",,,,Between 6 and 12 months,6,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:43:13,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryougi Shiki,"Gilgamesh, Orion","Scathach, Tamamo no Mae [Lancer]","Francis Drake, Iskandar","Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,Florence Nightingale,,Jeanne D'arc [Alter],"Kiyohime [Lancer], Mordred [Rider], Anne/Mary [Archer], Marie [Caster]",More than 1 year,13,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:43:15,Paid Gacha Only,,,,,,,,,,,,,,,,,,,"Queen Medb, Iskandar",,Shuten Douji,,,,Martha [Ruler],Between 3 and 6 months,4,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:43:16,F2P,"Artoria Pendragon, Altera",Orion,Tamamo no Mae [Lancer],"Francis Drake, Queen Medb, Iskandar",Leonardo Da Vinci,,,,,Shishou NP5 [Assassin] aka event done,Between 6 and 12 months,8,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:43:45,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,,,Francis Drake,,,Florence Nightingale,,,"Kiyohime [Lancer], Anne/Mary [Archer], Shishou NP5 [Assassin] aka event done",Between 6 and 12 months,5,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:44:01,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Mordred, Nero Claudius [Bride]","Gilgamesh, Orion, Arjuna",Tamamo no Mae [Lancer],"Queen Medb, Iskandar",Xuanzang,,"Vlad III, Minamoto no Raikō","Jeanne D'arc, Amakusa Shirou",,"Kiyohime [Lancer], Mordred [Rider], Marie [Caster]",More than 1 year,19,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:44:09,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mordred, Ryougi Shiki",,Karna,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,,,Edmond Dantes,,Between 6 and 12 months,9,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:44:14,F2P,Artoria Pendragon,,,Ozymandias,,,,,,"Anne/Mary [Archer], Marie [Caster]",Between 6 and 12 months,2,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:44:30,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francis Drake,,Jack the Ripper,"Vlad III, Florence Nightingale",,Extra Option: Angra Mainyu,Kiyohime [Lancer],Between 3 and 6 months,4,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:44:37,F2P,,,,,,Jack the Ripper,,,,,Less than 1 month,1,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:44:41,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,"Scathach, Karna","Francis Drake, Ozymandias",Zhuge Liang [El-Melloi II],,,Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",,More than 1 year,10,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:44:49,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji","Orion, Arjuna, Artoria Pendragon [Archer]",Scathach,Francis Drake,"Zhuge Liang [El-Melloi II], Xuanzang, Leonardo Da Vinci","Jack the Ripper, Shuten Douji","Cu Chulainn [Alter], Minamoto no Raikō",Amakusa Shirou,"Jeanne D'arc [Alter], Edmond Dantes","Mordred [Rider], Anne/Mary [Archer], Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",Between 6 and 12 months,23,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:44:51,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred","Orion, Arjuna",Scathach,,Zhuge Liang [El-Melloi II],"Jack the Ripper, MHX",Vlad III,,Edmond Dantes,Shishou NP5 [Assassin] aka event done,More than 1 year,11,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:45:04,More than 500 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred","Gilgamesh, Orion, Nikola Tesla, Arjuna","Scathach, Karna, Artoria Pendragon [Lancer]","Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Xuanzang, Leonardo Da Vinci","Jack the Ripper, Shuten Douji","Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],"Kiyohime [Lancer], Mordred [Rider], Anne/Mary [Archer], Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",More than 1 year,76,No,Male,,,,,,More than 70,No,,,
7/08/2018 19:45:06,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamamo no Mae [Lancer],Ozymandias,Xuanzang,Jack the Ripper,Minamoto no Raikō,,,Mordred [Rider],Between 1 and 3 months,6,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:45:32,F2P,,,,,,,,,,,Less than 1 month,0,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:45:45,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,"Tamamo-no-mae, Xuanzang",,Cu Chulainn [Alter],Amakusa Shirou,,,Between 6 and 12 months,4,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:46:08,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryougi Shiki,"Gilgamesh, Orion","Scathach, Tamamo no Mae [Lancer]","Francis Drake, Iskandar","Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,Florence Nightingale,,Jeanne D'arc [Alter],"Kiyohime [Lancer], Mordred [Rider], Anne/Mary [Archer], Marie [Caster]",More than 1 year,13,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:46:26,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Ryougi Shiki",Orion,,Queen Medb,"Zhuge Liang [El-Melloi II], Tamamo-no-mae","Jack the Ripper, MHX","Vlad III, Cu Chulainn [Alter]",Jeanne D'arc,Edmond Dantes,"Mordred [Rider], Anne/Mary [Archer], Shishou NP5 [Assassin] aka event done",More than 1 year,12,Yes,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:46:35,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,,,Ozymandias,,Jack the Ripper,Florence Nightingale,,,Martha [Ruler],Between 6 and 12 months,5,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:46:43,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride], Ryougi Shiki","Orion, Arjuna","Scathach, Karna",Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae","Jack the Ripper, MHX","Sakata Kintoki, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],"Mordred [Rider], Martha [Ruler], Shishou NP5 [Assassin] aka event done",More than 1 year,30,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:46:51,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orion,"Karna, Tamamo no Mae [Lancer]",,Tamamo-no-mae,Shuten Douji,,,Jeanne D'arc [Alter],"Kiyohime [Lancer], Mordred [Rider], Anne/Mary [Archer], Shishou NP5 [Assassin] aka event done",Between 3 and 6 months,6,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:47:15,Paid Gacha Only,,,,,,,,,,,,,,,,Artoria Pendragon,"Gilgamesh, Arjuna",Scathach,Queen Medb,Tamamo-no-mae,,"Vlad III, Cu Chulainn [Alter]",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu","Kiyohime [Lancer], Mordred [Rider]",More than 1 year,14,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:47:28,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,,Artoria Pendragon [Lancer],,Xuanzang,,Cu Chulainn [Alter],,,Shishou NP5 [Assassin] aka event done,Between 6 and 12 months,4,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:47:36,F2P,Altera,,Artoria Pendragon [Lancer],,,,,,,Shishou NP5 [Assassin] aka event done,Between 1 and 3 months,2,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:47:38,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon [Archer],"Karna, Tamamo no Mae [Lancer]",,Zhuge Liang [El-Melloi II],"Jack the Ripper, Shuten Douji","Florence Nightingale, Minamoto no Raikō",,,"Kiyohime [Lancer], Mordred [Rider], Anne/Mary [Archer], Marie [Caster], Shishou NP5 [Assassin] aka event done",Between 3 and 6 months,9,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:47:52,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon [Archer],,,Zhuge Liang [El-Melloi II],,Vlad III,Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",Martha [Ruler],More than 1 year,7,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:48:10,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Mordred",Nikola Tesla,Tamamo no Mae [Lancer],,"Zhuge Liang [El-Melloi II], Leonardo Da Vinci","Jack the Ripper, Shuten Douji","Sakata Kintoki, Vlad III","Jeanne D'arc, Amakusa Shirou",Extra Option: Angra Mainyu,"Kiyohime [Lancer], Mordred [Rider], Marie [Caster], Martha [Ruler]",More than 1 year,18,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:48:20,F2P,,,,,,,Minamoto no Raikō,,,,Between 3 and 6 months,1,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:48:21,F2P,Okita Souji,,Scathach,Ozymandias,Zhuge Liang [El-Melloi II],,,Jeanne D'arc,Jeanne D'arc [Alter],"Kiyohime [Lancer], Mordred [Rider]",More than 1 year,10,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:49:05,More than 300USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scathach, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer]",Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Vlad III,Amakusa Shirou,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu","Kiyohime [Lancer], Anne/Mary [Archer], Marie [Caster], Martha [Ruler]",Between 6 and 12 months,12,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:49:17,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scathach,"Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Minamoto no Raikō,Jeanne D'arc,,Kiyohime [Lancer],More than 1 year,9,Yes,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:49:17,F2P,"Artoria Pendragon, Okita Souji, Ryougi Shiki",Gilgamesh,"Brynhildr, Tamamo no Mae [Lancer]","Francis Drake, Ozymandias",,Jack the Ripper,,Jeanne D'arc,Jeanne D'arc [Alter],"Mordred [Rider], Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",More than 1 year,13,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:49:34,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,Arjuna,"Scathach, Brynhildr, Tamamo no Mae [Lancer]",Iskandar,Xuanzang,"Jack the Ripper, MHX",,Jeanne D'arc,,,Between 6 and 12 months,10,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:49:43,Paid Gacha Only,,,,,,,,,,,,,,,,Okita Souji,"Gilgamesh, Nikola Tesla, Artoria Pendragon [Archer]",,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",,,Jeanne D'arc,Jeanne D'arc [Alter],"Marie [Caster], Martha [Ruler]",More than 1 year,11,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:49:44,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,"Gilgamesh, Orion, Arjuna, Artoria Pendragon [Archer]","Scathach, Karna, Brynhildr","Queen Medb, Ozymandias",Zhuge Liang [El-Melloi II],"Jack the Ripper, Shuten Douji",Minamoto no Raikō,Jeanne D'arc,"Edmond Dantes, Extra Option: Angra Mainyu","Anne/Mary [Archer], Marie [Caster], Shishou NP5 [Assassin] aka event done",More than 1 year,22,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:50:15,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Okita Souji, Mordred, Nero Claudius [Bride], Ryougi Shiki",Artoria Pendragon [Archer],"Karna, Tamamo no Mae [Lancer]",,Tamamo-no-mae,,Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],"Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",Between 6 and 12 months,12,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:50:29,Paid Gacha Only,,,,,,,,,,,,,,,,,Orion,Artoria Pendragon [Lancer],"Francis Drake, Iskandar, Ozymandias",Tamamo-no-mae,MHX,Vlad III,Jeanne D'arc,Edmond Dantes,"Marie [Caster], Martha [Ruler], Shishou NP5 [Assassin] aka event done",Between 6 and 12 months,12,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018 19:50:29,More than 100USD but less than 300 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred, Nero Claudius [Bride], Ryougi Shiki",Nikola Tesla,"Scathach, Karna, Brynhildr","Francis Drake, Iskandar",Zhuge Liang [El-Melloi II],"Jack the Ripper, MHX","Vlad III, Cu Chulainn [Alter], Florence Nightingale",Amakusa Shirou,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Kiyohime [Lancer],More than 1 year,34,Yes,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
